address,price,area,rooms,neighbourhood,floors,elevator,lat,lon
Eixample,1500,60,2,,2,true,41.98007,2.818438
Barri Vell,690,65,2,,1,false,41.984325,2.824916
Barri Vell,1600,62,3,,3,false,41.984325,2.824916
Calle de Bilbao,1290,97,3,Sant Narcís,2,true,41.969428,2.809759
Devesa,1250,89,2,,5,true,42.050556,3.191425
Calle Isabel la Catòlica,1190,88,3,Carme-Vistalegre,3,true,41.567084,1.641284
Calle Narcís Blanch,1200,108,3,Migdia Casernes,2,true,41.923817,2.764141
"Calle Narcís Blanch, 39",900,70,1,Migdia Casernes,4,true,41.970037,2.817763
"Calle dels Calderers, 12",990,80,2,Barri Vell,1,false,41.987702,2.824236
"Travesía de la Creu, 21",1200,80,2,Eixample,,,41.97593,2.821806
Carme-Vistalegre,1125,128,3,,3,true,41.975497,2.824881
"Rotonda de la Devesa, 1",1200,82,3,Devesa,1,true,42.250566,2.940944
"Rda. de San Antonio María Claret, 27",1450,55,1,Eixample,1,false,41.888374,2.741508
"Ronda Pare Maria Claret, 41",1200,94,3,Eixample,5,true,41.98007,2.818438
"Plaza de Sant Pere, 3",1200,79,2,Barri Vell,3,true,41.989467,2.825167
Fontajau-Domeny,1100,88,3,,7,true,41.992573,2.789045
"Calle Migdia, 66",1000,119,1,Migdia Casernes,2,true,41.954811,2.792933
