census_tract,metres_cadastre,emissions_de_co2,qual_energia,qual_emissions,data_entrada,motiu,us_edifici,zona_climatica,energia_primaria,cost_energia
1707904002,69.51,58.89,G,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,347.63,1946.66
1707901003,34.34,29.8,E,D,2016-01-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,140.9,NaN
1707902008,170,58.61,E,E,2021-11-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,278.59,14.43
1707902015,215,66.21,F,E,,Compravenda,Habitatge unifamiliar,D2,376.25,28.76
1707903002,429.12,11.1,B,B,2018-04-01,Altres (cap de les anteriores opcions),Bloc d'habitatges plurifamiliar,D2,56.2,368.07
1707902002,48,52.97,G,E,2024-08-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,250.49,12.78
1707905006,47,45.59,E,D,,Compravenda,Habitatge individual en bloc d'habitatges,D2,242.73,16.49
1707903011,154,51.48,F,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,303.9,20.65
1707904001,46,77.84,G,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,394.97,20.77
1707902013,260,34.68,E,D,,Lloguer,Terciari,D2,168.82,2.04
1707902010,94,24,D,D,2017-02-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,114.88,511.1
1707902018,223,18.77,C,C,,Compravenda,Habitatge unifamiliar,D2,96,5.99
1707902018,101,40.83,E,E,2018-04-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,202.34,1182.65
1707906003,211,15.45,C,C,,Altres (cap de les anteriores opcions),Habitatge individual en bloc d'habitatges,D2,86.76,6.5
1707905005,137,8.24,A,C,,Certificació voluntària,Habitatge unifamiliar,D2,48.65,3.95
1707903018,76,51.83,E,E,2021-04-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,244.77,12.43
1707904001,60,16.5,D,C,,Lloguer,Habitatge individual en bloc d'habitatges,D2,97.39,7.9
1707902011,80,40.85,D,D,,Compravenda,Habitatge individual en bloc d'habitatges,D2,198.45,873.5
1707902008,140,88.3,G,G,2016-08-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,418.1,NaN
1707903010,65,38.33,D,F,2017-10-01,Compravenda,Terciari,D2,193.22,758.36
1707902010,67,70.31,G,F,2023-12-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,334.85,16.29
1707906002,64.11,44.7,E,E,2016-12-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,263.9,1373.13
1707904001,62,20.81,D,C,2025-10-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,98.7,5.08
1707902008,60,18.99,D,D,,Altres (cap de les anteriores opcions),Habitatge individual en bloc d'habitatges,D2,112.11,9.1
1707902008,99,56.79,E,E,2017-08-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,269.2,1369.06
1707906002,85,38.88,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,184.07,9.42
1707902018,75,34.26,E,D,2023-11-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,163.05,7.97
1707903014,96.94,41.78,E,E,2018-09-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,198.01,985.49
1707903013,64.6,40.39,E,E,2017-05-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,192.28,605.84
1707901001,124,28.02,E,G,2020-02-01,Compravenda,Terciari,D2,165.39,13.42
1707902017,99.57,56.15,F,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,331.48,2678.45
1707903011,71,40.76,E,E,2021-10-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,193.34,9.95
1707903007,44,46.74,F,E,,Compravenda,Terciari,D2,255.74,18.3
1707902003,106,61.1,F,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,290.17,14.99
1707905001,244.3,73.6,E,F,,Compravenda,Habitatge unifamiliar,D2,348.4,4358.65
1707902003,97,29.27,F,F,2021-04-01,Lloguer,Terciari,D2,172.81,14.02
1707903011,69.7,29.81,E,D,2018-07-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,142.58,491.46
1707903010,77,51.2,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,242.65,10.88
1707906003,178,64.6,C,G,2016-10-01,Lloguer,Terciari,D2,332.5,NaN
1707903010,84,61.2,F,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,289.62,14.81
1707905006,76,28.24,E,E,2025-06-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,134.33,6.97
1707903003,64,45.76,E,E,2019-01-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,216.4,11.04
1707902012,76,9.12,C,A,,Altres (cap de les anteriores opcions),Habitatge individual en bloc d'habitatges,D2,53.81,4.37
1707902008,82,51.4,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,242.98,1015.28
1707902019,54.42,35.61,E,D,,Compravenda,Habitatge individual en bloc d'habitatges,D2,171.28,11.91
1707902011,86,62.73,F,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,296.91,15.19
1707903001,595,14.47,C,B,2022-09-01,Certificació voluntària,Terciari,D2,83.72,6.59
1707901002,172.05,46.77,E,E,,Compravenda,Habitatge unifamiliar,D2,276.11,3790.06
1707903010,1974,25.78,B,C,2022-09-01,Altres (cap de les anteriores opcions),Terciari,D2,148.23,11.55
1707904001,46,60.78,F,E,2021-12-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,289.03,14.98
1707902010,60,35.81,E,E,2022-06-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,211.42,17.16
1707902019,72,52.41,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,258.5,14.8
1707902003,105.75,29.79,E,,,Compravenda,Habitatge individual en bloc d'habitatges,D2,146.14,NaN
1707903014,73,38.51,E,E,,Compravenda,Habitatge unifamiliar,D2,192.38,11.37
1707902018,60,49.82,E,E,2018-07-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,236.17,725.1
1707902006,85,45.23,E,E,2016-08-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,255.01,1635.31
1707903011,89,41.75,E,E,2022-04-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,214.39,13.5
1707901004,54,59.41,F,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,325.23,23.3
1707904001,34,53.68,F,E,2021-09-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,316.92,25.72
1707903009,65,45.48,E,E,2025-08-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,215.31,11.02
1707902011,86,12.74,C,B,2023-07-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,60.23,3.07
1707903016,64,50.7,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,256.45,15.61
1707902010,44,59.25,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,280.73,14.4
1707903010,50,21.4,D,C,,Compravenda,Habitatge individual en bloc d'habitatges,D2,109.9,6.92
1707903001,77,25.14,E,C,,Lloguer,Terciari,D2,148.44,12.05
1707903020,78.5,49.24,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,253.88,650.15
1707906003,45,53.7,E,E,2016-05-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,254.4,NaN
1707902013,116,57.15,E,E,,Certificació voluntària,Habitatge individual en bloc d'habitatges,D2,270.58,13.85
1707902007,52,80.04,G,F,,Compravenda,Habitatge individual en bloc d'habitatges,D2,379.16,19.44
1707902003,127,31.02,E,D,,Certificació voluntària,Habitatge individual en bloc d'habitatges,D2,183.11,14.86
1707903003,49,16.95,D,D,,Lloguer,Habitatge individual en bloc d'habitatges,D2,80.65,4.19
1707902007,181,40.94,F,E,,Lloguer,Terciari,D2,241.68,19.61
1707902015,144,24.49,D,D,,Lloguer,Habitatge individual en bloc d'habitatges,D2,122.16,1035.41
1707904001,123,79.44,F,F,2017-05-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,376.64,23.48
1707901003,50,48.4,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,260.75,18.13
1707904002,60,52.94,F,E,2019-06-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,312.5,25.36
1707902005,79,11.66,C,A,,Altres (cap de les anteriores opcions),Habitatge unifamiliar,D2,56.31,3.33
1707903014,71.5,56.55,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,268.1,3449.64
1707903009,62,68.46,F,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,323.97,16.29
1707902020,97,48.32,E,E,2020-07-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,245.86,15.17
1707903002,219,45.52,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,215.3,10.99
1707902002,114,77.72,G,F,,Compravenda,Habitatge individual en bloc d'habitatges,D2,368.67,16.57
1707903003,80,53.63,D,C,2024-01-01,Compravenda,Terciari,D2,316.6,25.69
1707902006,90,33.57,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,159.48,10.07
1707905006,78,30.35,E,C,,Compravenda,Habitatge individual en bloc d'habitatges,D2,179.16,14.54
1707902021,4565,62.11,C,G,2022-09-01,Altres (cap de les anteriores opcions),Terciari,D2,345.4,25.45
1707901003,56,33.29,E,D,2025-10-01,Compravenda,Habitatge individual en bloc d'habitatges,D2,160.06,8.57
1707903017,80,54.01,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,264.49,14.87
1707902014,52,42.88,E,E,,Compravenda,Habitatge individual en bloc d'habitatges,D2,204.34,549.74
1707902001,105,59.05,E,E,,Lloguer,Habitatge individual en bloc d'habitatges,D2,279.59,14.02
1707902007,108,81.9,G,G,,Sol·licitud d'ajuts,Habitatge individual en bloc d'habitatges,D2,387.12,19.72
1707901004,75,51.26,G,E,2024-08-01,Lloguer,Habitatge individual en bloc d'habitatges,D2,277.54,19.48
1707903013,73.75,35.74,E,D,,Lloguer,Habitatge individual en bloc d'habitatges,D2,169.67,645.72
