lon,price,year_available,rooms,elevator,lat,floors,area,census_tract_INE,barri_oficial,metres_cadastre,emissions_de_co2,qual_energia,has_education_within_500m,has_food_within_500m,has_health_within_500m,has_mobility_within_500m,has_public_service_within_500m,renda_med,renda_mediana,gini,p80_p20,pct_65_plus,pct_under18,pct_single_household,sector_oficial,ingresos_otros_prest,ingresos_otros,ingresos_pensiones,ingresos_desempleo,ingresos_salario,p80_p20.1,gini.1,renda_med.1,renda_mediana.1,renta_bruta_hogar,renta_bruta_persona,renta_neta_hogar,renta_neta_persona,edad_media,poblacion,pct_single_household.1,pct_65_plus.1,pct_espanola,pct_under18.1,tamany_mitja_hogar,has_education_within_500m,education_count_within_500m,has_food_within_500m,food_count_within_500m,has_health_within_500m,health_count_within_500m,has_mobility_within_500m,mobility_count_within_500m,has_public_service_within_500m,public_service_count_within_500m
2.819229,1300,2026,2.0,True,41.978954,5.0,70,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord,2.2,26.4,20.8,0.8,49.8,2.6,32.4,32451.0,26950.0,70974.0,29629.0,53084.0,22160.0,44.3,1294.0,35.1,24.4,87.8,16.8,2.4,1,7,1,24,1,24,1,47,1,4
2.819772,1550,2026,3.0,True,41.985352,3.0,87,1707903003,Eixample,93.0,40.69,E,1,1,1,1,1,29305.0,24850.0,33.8,3.1,14.0,16.8,34.9,Eixample Nord,2.6,20.0,12.8,1.0,63.6,3.1,33.8,29305.0,24850.0,62744.0,26319.0,47990.0,20130.0,39.8,2603.0,34.9,14.0,77.8,16.8,2.4,1,4,1,11,1,17,1,21,1,6
2.823177,1600,2026,2.0,False,41.983803,4.0,107,1707903001,Centre,77.0,48.51,E,1,1,1,1,1,33181.0,24850.0,37.8,3.3,18.0,16.1,42.0,Mercadal,2.3,29.8,15.7,0.8,51.4,3.3,37.8,33181.0,24850.0,68809.0,30321.0,51988.0,22909.0,41.1,1209.0,42.0,18.0,77.2,16.1,2.2,1,5,1,13,1,15,1,26,1,10
2.825123,1500,2026,2.0,False,41.98231,3.0,66,1707901001,Centre,62.0,73.03,G,1,1,1,1,1,27933.0,22050.0,37.4,3.1,10.4,13.6,43.6,Barri Vell,2.3,23.1,11.1,1.3,62.2,3.1,37.4,27933.0,22050.0,56064.0,25401.0,43205.0,19575.0,39.5,1055.0,43.6,10.4,74.0,13.6,2.1,1,4,1,11,1,9,1,26,1,11
2.825042,1250,2026,3.0,False,41.984028,0.0,89,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell,1.6,25.1,9.8,1.7,61.8,2.9,36.0,25336.0,19950.0,51678.0,24210.0,38616.0,18091.0,39.4,1081.0,42.9,11.6,67.5,13.5,2.1,1,4,1,11,1,9,1,25,1,15
2.823917,1200,2026,4.0,True,41.969446,2.0,127,1707902010,Eixample,58.0,56.65,E,1,1,1,1,1,26524.0,24150.0,26.2,2.2,15.4,16.0,34.1,Eixample Sud,2.7,9.0,14.6,1.1,72.6,2.2,26.2,26524.0,24150.0,54838.0,23321.0,43206.0,18374.0,41.6,2364.0,34.1,15.4,88.0,16.0,2.3,1,7,1,6,1,2,1,10,1,2
2.824147,1100,2026,2.0,False,41.987587,5.0,50,1707904001,Centre,55.0,31.52,E,0,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell,1.6,25.1,9.8,1.7,61.8,2.9,36.0,25336.0,19950.0,51678.0,24210.0,38616.0,18091.0,39.4,1081.0,42.9,11.6,67.5,13.5,2.1,0,0,1,11,1,6,1,24,1,8
2.831818,2800,2026,4.0,False,41.995144,0.0,304,1707905001,Montjuïc,170.0,52.37,E,0,1,1,1,0,43994.0,36050.0,34.0,2.6,26.2,16.7,17.4,Montjuïc,1.8,27.6,18.5,0.3,51.7,2.6,34.0,43994.0,36050.0,109533.0,39874.0,79088.0,28791.0,45.4,1399.0,17.4,26.2,93.6,16.7,2.7,0,0,1,2,1,1,1,4,0,0
2.824916,1800,2026,3.0,True,41.984325,1.0,96,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell,1.6,25.1,9.8,1.7,61.8,2.9,36.0,25336.0,19950.0,51678.0,24210.0,38616.0,18091.0,39.4,1081.0,42.9,11.6,67.5,13.5,2.1,1,5,1,13,1,9,1,25,1,17
2.821367,1650,2026,2.0,True,41.982422,1.0,80,1707902001,Centre,158.0,39.46,F,1,1,1,1,1,35605.0,30450.0,35.4,3.1,25.7,18.6,37.8,Mercadal,2.5,24.7,20.1,0.9,51.8,3.1,35.4,35605.0,30450.0,75923.0,30977.0,57966.0,23651.0,44.6,803.0,37.8,25.7,88.9,18.6,2.4,1,6,1,18,1,25,1,22,1,9
2.812528,3000,2026,4.0,False,41.965464,1.0,200,1707902022,Eixample,77.0,29.07,E,1,1,1,1,1,22795.0,21700.0,30.0,2.6,7.5,24.7,30.4,Eixample Sud,3.3,8.3,7.6,1.4,79.4,2.6,30.0,22795.0,21700.0,51314.0,18971.0,40473.0,14963.0,34.5,1942.0,30.4,7.5,78.9,24.7,2.7,1,3,1,4,1,1,1,16,1,1
2.818438,1500,2026,2.0,False,41.98007,0.0,156,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord,2.2,26.4,20.8,0.8,49.8,2.6,32.4,32451.0,26950.0,70974.0,29629.0,53084.0,22160.0,44.3,1294.0,35.1,24.4,87.8,16.8,2.4,1,5,1,17,1,23,1,40,1,5
2.824916,2100,2026,2.0,True,41.984325,2.0,107,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell,1.6,25.1,9.8,1.7,61.8,2.9,36.0,25336.0,19950.0,51678.0,24210.0,38616.0,18091.0,39.4,1081.0,42.9,11.6,67.5,13.5,2.1,1,5,1,13,1,9,1,25,1,17
2.824881,900,2026,2.0,True,41.975497,6.0,69,1707901003,Centre,125.0,74.7,G,1,1,1,1,1,27181.0,24150.0,30.1,2.3,17.5,15.3,34.3,Carme,2.7,14.0,16.9,1.2,65.3,2.3,30.1,27181.0,24150.0,57374.0,23819.0,44793.0,18596.0,41.7,1402.0,34.3,17.5,80.8,15.3,2.4,1,4,1,10,1,9,1,14,1,4
2.824916,2100,2026,2.0,True,41.984325,1.0,107,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell,1.6,25.1,9.8,1.7,61.8,2.9,36.0,25336.0,19950.0,51678.0,24210.0,38616.0,18091.0,39.4,1081.0,42.9,11.6,67.5,13.5,2.1,1,5,1,13,1,9,1,25,1,17
2.812528,1800,2026,4.0,True,41.965464,1.0,150,1707902022,Eixample,77.0,29.07,E,1,1,1,1,1,22795.0,21700.0,30.0,2.6,7.5,24.7,30.4,Eixample Sud,3.3,8.3,7.6,1.4,79.4,2.6,30.0,22795.0,21700.0,51314.0,18971.0,40473.0,14963.0,34.5,1942.0,30.4,7.5,78.9,24.7,2.7,1,3,1,4,1,1,1,16,1,1
2.81615,1700,2026,2.0,False,41.968709,0.0,71,1707902011,Eixample,90.0,25.63,D,1,1,1,1,1,23134.0,22050.0,28.2,2.6,12.6,18.2,30.4,Eixample Sud,3.3,8.6,12.9,1.4,73.8,2.6,28.2,23134.0,22050.0,48784.0,19510.0,39263.0,15702.0,38.9,2598.0,30.4,12.6,78.8,18.2,2.5,1,3,1,6,1,2,1,11,1,2
2.824916,1500,2026,1.0,True,41.984325,4.0,52,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell,1.6,25.1,9.8,1.7,61.8,2.9,36.0,25336.0,19950.0,51678.0,24210.0,38616.0,18091.0,39.4,1081.0,42.9,11.6,67.5,13.5,2.1,1,5,1,13,1,9,1,25,1,17
2.820586,3000,2026,2.0,True,41.978459,1.0,87,1707902004,Eixample,65.0,47.64,F,1,1,1,1,1,32741.0,26950.0,33.9,3.1,23.6,16.6,36.4,Eixample Nord,2.5,24.2,19.3,0.7,53.3,3.1,33.9,32741.0,26950.0,68901.0,29601.0,52012.0,22345.0,44.0,1676.0,36.4,23.6,85.1,16.6,2.3,1,9,1,28,1,22,1,22,1,4
2.824916,1800,2026,2.0,False,41.984325,1.0,71,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell,1.6,25.1,9.8,1.7,61.8,2.9,36.0,25336.0,19950.0,51678.0,24210.0,38616.0,18091.0,39.4,1081.0,42.9,11.6,67.5,13.5,2.1,1,5,1,13,1,9,1,25,1,17
2.818438,1800,2026,3.0,True,41.98007,1.0,101,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord,2.2,26.4,20.8,0.8,49.8,2.6,32.4,32451.0,26950.0,70974.0,29629.0,53084.0,22160.0,44.3,1294.0,35.1,24.4,87.8,16.8,2.4,1,5,1,17,1,23,1,40,1,5
2.825231,1600,2026,4.0,True,41.983855,2.0,123,1707901001,Centre,62.0,73.03,G,1,1,1,1,1,27933.0,22050.0,37.4,3.1,10.4,13.6,43.6,Barri Vell,2.3,23.1,11.1,1.3,62.2,3.1,37.4,27933.0,22050.0,56064.0,25401.0,43205.0,19575.0,39.5,1055.0,43.6,10.4,74.0,13.6,2.1,1,4,1,11,1,9,1,22,1,15
2.808535,1500,2026,2.0,False,41.994252,1.0,70,1707906002,Oest,62.0,4.71,B,1,0,1,1,1,22782.0,21350.0,24.7,2.2,15.3,21.3,24.4,Taialà,4.6,7.7,17.1,2.0,68.6,2.2,24.7,22782.0,21350.0,49225.0,18328.0,40619.0,15124.0,40.1,2660.0,24.4,15.3,88.1,21.3,2.7,1,2,0,0,1,1,1,7,1,1
2.808535,1500,2026,2.0,False,41.994252,1.0,70,1707906002,Oest,62.0,4.71,B,1,0,1,1,1,22782.0,21350.0,24.7,2.2,15.3,21.3,24.4,Taialà,4.6,7.7,17.1,2.0,68.6,2.2,24.7,22782.0,21350.0,49225.0,18328.0,40619.0,15124.0,40.1,2660.0,24.4,15.3,88.1,21.3,2.7,1,2,0,0,1,1,1,7,1,1
2.823917,1154,2026,4.0,False,41.969446,0.0,118,1707902010,Eixample,58.0,56.65,E,1,1,1,1,1,26524.0,24150.0,26.2,2.2,15.4,16.0,34.1,Eixample Sud,2.7,9.0,14.6,1.1,72.6,2.2,26.2,26524.0,24150.0,54838.0,23321.0,43206.0,18374.0,41.6,2364.0,34.1,15.4,88.0,16.0,2.3,1,7,1,6,1,2,1,10,1,2
2.825809,1500,2026,2.0,False,41.99131,0.0,45,1707905002,Nord,59.0,49.21,E,1,1,1,1,1,19939.0,17150.0,28.7,2.4,15.8,15.8,35.9,Pedret,5.3,8.1,18.6,1.6,66.4,2.4,28.7,19939.0,17150.0,39830.0,16515.0,33286.0,13801.0,41.0,972.0,35.9,15.8,71.9,15.8,2.4,1,2,1,1,1,2,1,15,1,1
2.824916,2200,2026,3.0,True,41.984325,2.0,94,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell,1.6,25.1,9.8,1.7,61.8,2.9,36.0,25336.0,19950.0,51678.0,24210.0,38616.0,18091.0,39.4,1081.0,42.9,11.6,67.5,13.5,2.1,1,5,1,13,1,9,1,25,1,17
2.811933,1100,2026,3.0,True,41.976997,2.0,87,1707903016,Eixample,57.0,50.39,E,1,1,1,1,1,21658.0,19250.0,30.2,2.5,22.5,14.8,28.8,Eixample Nord,4.0,7.9,27.2,1.7,59.3,2.5,30.2,21658.0,19250.0,48719.0,17908.0,40185.0,14771.0,43.8,1652.0,28.8,22.5,75.8,14.8,2.7,1,3,1,13,1,8,1,41,1,1
2.824916,2500,2026,4.0,False,41.984325,1.0,124,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell,1.6,25.1,9.8,1.7,61.8,2.9,36.0,25336.0,19950.0,51678.0,24210.0,38616.0,18091.0,39.4,1081.0,42.9,11.6,67.5,13.5,2.1,1,5,1,13,1,9,1,25,1,17
2.824542,1400,2026,2.0,False,41.983021,4.0,100,1707901001,Centre,62.0,73.03,G,1,1,1,1,1,27933.0,22050.0,37.4,3.1,10.4,13.6,43.6,Barri Vell,2.3,23.1,11.1,1.3,62.2,3.1,37.4,27933.0,22050.0,56064.0,25401.0,43205.0,19575.0,39.5,1055.0,43.6,10.4,74.0,13.6,2.1,1,5,1,11,1,9,1,23,1,12
2.818438,3000,2026,2.0,True,41.98007,5.0,97,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord,2.2,26.4,20.8,0.8,49.8,2.6,32.4,32451.0,26950.0,70974.0,29629.0,53084.0,22160.0,44.3,1294.0,35.1,24.4,87.8,16.8,2.4,1,5,1,17,1,23,1,40,1,5
2.820586,1550,2026,4.0,False,41.978459,1.0,110,1707902004,Eixample,65.0,47.64,F,1,1,1,1,1,32741.0,26950.0,33.9,3.1,23.6,16.6,36.4,Eixample Nord,2.5,24.2,19.3,0.7,53.3,3.1,33.9,32741.0,26950.0,68901.0,29601.0,52012.0,22345.0,44.0,1676.0,36.4,23.6,85.1,16.6,2.3,1,9,1,28,1,22,1,22,1,4
2.831818,1500,2026,4.0,True,41.995144,3.0,127,1707905001,Montjuïc,170.0,52.37,E,0,1,1,1,0,43994.0,36050.0,34.0,2.6,26.2,16.7,17.4,Montjuïc,1.8,27.6,18.5,0.3,51.7,2.6,34.0,43994.0,36050.0,109533.0,39874.0,79088.0,28791.0,45.4,1399.0,17.4,26.2,93.6,16.7,2.7,0,0,1,2,1,1,1,4,0,0
2.824916,640,2026,2.0,False,41.984325,4.0,60,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell,1.6,25.1,9.8,1.7,61.8,2.9,36.0,25336.0,19950.0,51678.0,24210.0,38616.0,18091.0,39.4,1081.0,42.9,11.6,67.5,13.5,2.1,1,5,1,13,1,9,1,25,1,17
2.8226,990,2026,3.0,False,41.970227,1.0,90,1707902010,Eixample,58.0,56.65,E,1,1,1,1,1,26524.0,24150.0,26.2,2.2,15.4,16.0,34.1,Eixample Sud,2.7,9.0,14.6,1.1,72.6,2.2,26.2,26524.0,24150.0,54838.0,23321.0,43206.0,18374.0,41.6,2364.0,34.1,15.4,88.0,16.0,2.3,1,8,1,7,1,3,1,11,1,3
2.820337,1124,2026,4.0,False,41.978387,0.0,107,1707902004,Eixample,65.0,47.64,F,1,1,1,1,1,32741.0,26950.0,33.9,3.1,23.6,16.6,36.4,Eixample Nord,2.5,24.2,19.3,0.7,53.3,3.1,33.9,32741.0,26950.0,68901.0,29601.0,52012.0,22345.0,44.0,1676.0,36.4,23.6,85.1,16.6,2.3,1,9,1,28,1,22,1,24,1,4
2.824916,950,2026,3.0,True,41.984325,2.0,110,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell,1.6,25.1,9.8,1.7,61.8,2.9,36.0,25336.0,19950.0,51678.0,24210.0,38616.0,18091.0,39.4,1081.0,42.9,11.6,67.5,13.5,2.1,1,5,1,13,1,9,1,25,1,17
2.819809,800,2026,2.0,True,41.982941,1.0,75,1707903001,Centre,77.0,48.51,E,1,1,1,1,1,33181.0,24850.0,37.8,3.3,18.0,16.1,42.0,Mercadal,2.3,29.8,15.7,0.8,51.4,3.3,37.8,33181.0,24850.0,68809.0,30321.0,51988.0,22909.0,41.1,1209.0,42.0,18.0,77.2,16.1,2.2,1,7,1,14,1,24,1,17,1,7
2.824275,800,2026,2.0,True,41.983438,2.0,50,1707901001,Centre,62.0,73.03,G,1,1,1,1,1,27933.0,22050.0,37.4,3.1,10.4,13.6,43.6,Barri Vell,2.3,23.1,11.1,1.3,62.2,3.1,37.4,27933.0,22050.0,56064.0,25401.0,43205.0,19575.0,39.5,1055.0,43.6,10.4,74.0,13.6,2.1,1,6,1,12,1,10,1,28,1,13
2.818438,1800,2026,4.0,True,41.98007,5.0,142,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord,2.2,26.4,20.8,0.8,49.8,2.6,32.4,32451.0,26950.0,70974.0,29629.0,53084.0,22160.0,44.3,1294.0,35.1,24.4,87.8,16.8,2.4,1,5,1,17,1,23,1,40,1,5
