lon,price,year_available,rooms,elevator,lat,floors,area,census_tract_INE,barri_oficial,metres_cadastre,emissions_de_co2,qual_energia,has_education_within_500m,has_food_within_500m,has_health_within_500m,has_mobility_within_500m,has_public_service_within_500m,renda_med,renda_mediana,gini,p80_p20,pct_65_plus,pct_under18,pct_single_household,sector_oficial
2.825231,1600,2026,4.0,True,41.983855,2.0,123,1707901001,Centre,62.0,73.03,G,1,1,1,1,1,27933.0,22050.0,37.4,3.1,10.4,13.6,43.6,Barri Vell
2.808535,1500,2026,2.0,False,41.994252,1.0,70,1707906002,Oest,62.0,4.71,B,1,0,1,1,1,22782.0,21350.0,24.7,2.2,15.3,21.3,24.4,Taialà
2.808535,1500,2026,2.0,False,41.994252,1.0,70,1707906002,Oest,62.0,4.71,B,1,0,1,1,1,22782.0,21350.0,24.7,2.2,15.3,21.3,24.4,Taialà
2.823917,1154,2026,4.0,False,41.969446,0.0,118,1707902010,Eixample,58.0,56.65,E,1,1,1,1,1,26524.0,24150.0,26.2,2.2,15.4,16.0,34.1,Eixample Sud
2.825809,1500,2026,2.0,False,41.99131,0.0,45,1707905002,Nord,59.0,49.21,E,1,1,1,1,1,19939.0,17150.0,28.7,2.4,15.8,15.8,35.9,Pedret
2.824916,2200,2026,3.0,True,41.984325,2.0,94,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.811933,1100,2026,3.0,True,41.976997,2.0,87,1707903016,Eixample,57.0,50.39,E,1,1,1,1,1,21658.0,19250.0,30.2,2.5,22.5,14.8,28.8,Eixample Nord
2.824916,2500,2026,4.0,False,41.984325,1.0,124,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.824542,1400,2026,2.0,False,41.983021,4.0,100,1707901001,Centre,62.0,73.03,G,1,1,1,1,1,27933.0,22050.0,37.4,3.1,10.4,13.6,43.6,Barri Vell
2.818438,3000,2026,2.0,True,41.98007,5.0,97,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord
2.820586,1550,2026,4.0,False,41.978459,1.0,110,1707902004,Eixample,65.0,47.64,F,1,1,1,1,1,32741.0,26950.0,33.9,3.1,23.6,16.6,36.4,Eixample Nord
2.831818,1500,2026,4.0,True,41.995144,3.0,127,1707905001,Montjuïc,170.0,52.37,E,0,1,1,1,0,43994.0,36050.0,34.0,2.6,26.2,16.7,17.4,Montjuïc
2.824916,640,2026,2.0,False,41.984325,4.0,60,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.8226,990,2026,3.0,False,41.970227,1.0,90,1707902010,Eixample,58.0,56.65,E,1,1,1,1,1,26524.0,24150.0,26.2,2.2,15.4,16.0,34.1,Eixample Sud
2.820337,1124,2026,4.0,False,41.978387,0.0,107,1707902004,Eixample,65.0,47.64,F,1,1,1,1,1,32741.0,26950.0,33.9,3.1,23.6,16.6,36.4,Eixample Nord
2.824916,950,2026,3.0,True,41.984325,2.0,110,1707904001,Centre,55.0,31.52,E,1,1,1,1,1,25336.0,19950.0,36.0,2.9,11.6,13.5,42.9,Barri Vell
2.819809,800,2026,2.0,True,41.982941,1.0,75,1707903001,Centre,77.0,48.51,E,1,1,1,1,1,33181.0,24850.0,37.8,3.3,18.0,16.1,42.0,Mercadal
2.824275,800,2026,2.0,True,41.983438,2.0,50,1707901001,Centre,62.0,73.03,G,1,1,1,1,1,27933.0,22050.0,37.4,3.1,10.4,13.6,43.6,Barri Vell
2.818438,1800,2026,4.0,True,41.98007,5.0,142,1707902003,Eixample,140.0,11.92,C,1,1,1,1,1,32451.0,26950.0,32.4,2.6,24.4,16.8,35.1,Eixample Nord
2.820337,3300,2026,3.0,False,41.978387,0.0,131,1707902004,Eixample,65.0,47.64,F,1,1,1,1,1,32741.0,26950.0,33.9,3.1,23.6,16.6,36.4,Eixample Nord
2.824952,1350,2026,2.0,True,41.983937,1.0,58,1707901001,Centre,62.0,73.03,G,1,1,1,1,1,27933.0,22050.0,37.4,3.1,10.4,13.6,43.6,Barri Vell
2.824881,2700,2026,3.0,True,41.975497,1.0,120,1707901003,Centre,125.0,74.7,G,1,1,1,1,1,27181.0,24150.0,30.1,2.3,17.5,15.3,34.3,Carme
2.824881,2700,2026,3.0,True,41.975497,5.0,120,1707901003,Centre,125.0,74.7,G,1,1,1,1,1,27181.0,24150.0,30.1,2.3,17.5,15.3,34.3,Carme
2.824881,2400,2026,2.0,True,41.975497,1.0,45,1707901003,Centre,125.0,74.7,G,1,1,1,1,1,27181.0,24150.0,30.1,2.3,17.5,15.3,34.3,Carme
2.820898,550,2026,1.0,True,41.983506,1.0,55,1707903001,Centre,77.0,48.51,E,1,1,1,1,1,33181.0,24850.0,37.8,3.3,18.0,16.1,42.0,Mercadal
2.82045,1790,2026,2.0,True,41.977527,6.0,104,1707902004,Eixample,65.0,47.64,F,1,1,1,1,1,32741.0,26950.0,33.9,3.1,23.6,16.6,36.4,Eixample Nord
2.813302,1000,2026,2.0,True,41.981401,2.0,89,1707903020,Eixample,161.0,42.88,E,1,1,1,1,1,29714.0,26250.0,29.7,2.7,19.7,15.0,30.5,Eixample Nord
